"timegroupsf","freq","se","timegroups","species"
"before 2000",0.00492811446314719,0.00413984801289212,1993,"Ashy-crowned Sparrow-Lark"
"2000-2006",0.00231655786173945,0.00253821372188344,2004,"Ashy-crowned Sparrow-Lark"
"2007-2010",0.00219055138285069,0.00179975511739285,2009,"Ashy-crowned Sparrow-Lark"
"2011-2012",0.000871461546484285,0.00100565800037201,2012,"Ashy-crowned Sparrow-Lark"
"2013",0.000673239344926427,0.000738021299979354,2013,"Ashy-crowned Sparrow-Lark"
"2014",0.000894837164962724,0.000689910886178136,2014,"Ashy-crowned Sparrow-Lark"
"2015",0.00100365965808197,0.000809529587108039,2015,"Ashy-crowned Sparrow-Lark"
"2016",0.000719913063771427,0.00057347115125233,2016,"Ashy-crowned Sparrow-Lark"
"2017",0.0012264728662701,0.000977250528165003,2017,"Ashy-crowned Sparrow-Lark"
"2018",0.000704603826153076,0.000555091409909144,2018,"Ashy-crowned Sparrow-Lark"
"2019",0.00032631782588529,0.000259076818071801,2019,"Ashy-crowned Sparrow-Lark"
"before 2000",0.00682475185989592,0.00857385845911189,1993,"Bar-tailed Godwit"
"2000-2006",1.8941223365957e-10,2.05690956607548e-10,2004,"Bar-tailed Godwit"
"2007-2010",0.000783431918604052,0.000971559543683488,2009,"Bar-tailed Godwit"
"2011-2012",2.65065747266347e-10,2.85498880667281e-10,2012,"Bar-tailed Godwit"
"2013",0.00497360592543498,0.00541718465929238,2013,"Bar-tailed Godwit"
"2014",0.00031267572215941,0.000372139727688724,2014,"Bar-tailed Godwit"
"2015",0.000441162659980597,0.00028931002825902,2015,"Bar-tailed Godwit"
"2016",0.00146377910896474,0.00092465209482966,2016,"Bar-tailed Godwit"
"2017",0.000731212002046762,0.000461314295880752,2017,"Bar-tailed Godwit"
"2018",0.000577983294413993,0.000361789593078998,2018,"Bar-tailed Godwit"
"2019",0.000117618889323686,0.000134647455113816,2019,"Bar-tailed Godwit"
"before 2000",0.0021477468443548,0.000781281284646044,1993,"Baya Weaver"
"2000-2006",0.00284406956898519,0.000886334431544143,2004,"Baya Weaver"
"2007-2010",0.00159730867564863,0.000478105182055963,2009,"Baya Weaver"
"2011-2012",0.00595933857121438,0.0018014686579731,2012,"Baya Weaver"
"2013",0.00365918249218154,0.0010379834625429,2013,"Baya Weaver"
"2014",0.00426799879869787,0.00102290912828318,2014,"Baya Weaver"
"2015",0.00251403542613112,0.000605848104170514,2015,"Baya Weaver"
"2016",0.0028562880872963,0.000656051338458009,2016,"Baya Weaver"
"2017",0.00239699209553233,0.00056699672575132,2017,"Baya Weaver"
"2018",0.00229714312171257,0.000537546549909679,2018,"Baya Weaver"
"2019",0.00207415730649286,0.000490310464361308,2019,"Baya Weaver"
"before 2000",0.00929848089812052,0.00340580371796185,1993,"Black Bittern"
"2000-2006",0.0045216271795513,0.00187178260004396,2004,"Black Bittern"
"2007-2010",0.00377951591157249,0.00140058272521842,2009,"Black Bittern"
"2011-2012",0.00547616110782767,0.00216960455920499,2012,"Black Bittern"
