eBird.English.Name,eBird.Scientific.Name,Resident,Strictly.Altitudinal.Migrant,Summer.Visitor,Winter.Visitor,Strictly.Passage,Uncertain.Vagrant,Breeding.Range.Mostly.Outside
Abbott's Babbler,Turdinus abbotti,1,NA,NA,NA,NA,NA,NA
Aberrant Bush Warbler,Horornis flavolivaceus,1,1,NA,NA,NA,NA,NA
Alexandrine Parakeet,Psittacula eupatria,1,NA,NA,NA,NA,NA,NA
Alpine Accentor,Prunella collaris,1,1,NA,NA,NA,NA,NA
Alpine Swift,Apus melba,1,NA,1,1,NA,NA,NA
Alpine Thrush,Zoothera mollissima,1,1,NA,NA,NA,NA,NA
Altai Accentor,Prunella himalayana,NA,NA,NA,1,NA,NA,NA
American Golden-Plover,Pluvialis dominica,NA,NA,NA,1,NA,1,NA
American Pipit,Anthus rubescens,NA,NA,NA,1,NA,NA,NA
Amur Falcon,Falco amurensis,NA,NA,NA,NA,1,NA,NA
Amur Paradise-Flycatcher,Terpsiphone incei,NA,NA,NA,1,NA,1,NA
Andaman Boobook,Ninox affinis,1,NA,NA,NA,NA,NA,NA
Andaman Bulbul,Brachypodius fuscoflavescens,1,NA,NA,NA,NA,NA,NA
Andaman Coucal,Centropus andamanensis,1,NA,NA,NA,NA,NA,NA
Andaman Crake,Rallina canningi,1,NA,NA,NA,NA,NA,NA
Andaman Cuckoo-Dove,Macropygia rufipennis,1,NA,NA,NA,NA,NA,NA
Andaman Cuckooshrike,Coracina dobsoni,1,NA,NA,NA,NA,NA,NA
Andaman Drongo,Dicrurus andamanensis,1,NA,NA,NA,NA,NA,NA
Andaman Flowerpecker,Dicaeum virescens,1,NA,NA,NA,NA,NA,NA
Andaman Green-Pigeon,Treron chloropterus,1,NA,NA,NA,NA,NA,NA
Andaman Masked-Owl,Tyto deroepstorffi,1,NA,NA,NA,NA,NA,NA
Andaman Nightjar,Caprimulgus andamanicus,1,NA,NA,NA,NA,NA,NA
Andaman Scops-Owl,Otus balli,1,NA,NA,NA,NA,NA,NA
Andaman Serpent-Eagle,Spilornis elgini,1,NA,NA,NA,NA,NA,NA
Andaman Shama,Copsychus albiventris,1,NA,NA,NA,NA,NA,NA
Andaman Teal,Anas albogularis,1,NA,NA,NA,NA,NA,NA
Andaman Treepie,Dendrocitta bayleii,1,NA,NA,NA,NA,NA,NA
Andaman Wood-Pigeon,Columba palumboides,1,NA,NA,NA,NA,NA,NA
Andaman Woodpecker,Dryocopus hodgei,1,NA,NA,NA,NA,NA,NA
Arctic Loon,Gavia arctica,NA,NA,NA,NA,NA,1,NA
Arctic Tern,Sterna paradisaea,NA,NA,NA,NA,NA,1,NA
Arctic Warbler,Phylloscopus borealis,NA,NA,NA,1,NA,NA,NA
Ashambu Laughingthrush,Montecincla meridionalis,1,NA,NA,NA,NA,NA,NA
Ashy-crowned Sparrow-Lark,Eremopterix griseus,1,NA,NA,NA,NA,NA,NA
Ashy-headed Green-Pigeon,Treron phayrei,1,NA,NA,NA,NA,NA,NA
Ashy-throated Warbler,Phylloscopus maculipennis,1,1,NA,NA,NA,NA,NA
Ashy Bulbul,Hemixos flavala,1,NA,NA,NA,NA,NA,NA
Ashy Drongo,Dicrurus leucophaeus,NA,NA,1,1,NA,NA,NA
Ashy Minivet,Pericrocotus divaricatus,NA,NA,NA,NA,NA,1,NA
Ashy Prinia,Prinia socialis,1,NA,NA,NA,NA,NA,NA
Ashy Wood-Pigeon,Columba pulchricollis,1,NA,NA,NA,NA,NA,NA
Ashy Woodswallow,Artamus fuscus,1,NA,NA,NA,NA,NA,NA
Asian Barred Owlet,Glaucidium cuculoides,1,NA,NA,NA,NA,NA,NA
Asian Brown Flycatcher,Muscicapa dauurica,1,NA,1,1,NA,NA,NA
Asian Desert Warbler,Sylvia nana,NA,NA,NA,1,NA,NA,NA
Asian Dowitcher,Limnodromus semipalmatus,NA,NA,NA,1,NA,NA,NA
Asian Emerald Cuckoo,Chrysococcyx maculatus,1,NA,1,NA,NA,NA,NA
Asian Emerald Dove,Chalcophaps indica,1,NA,NA,NA,NA,NA,NA
Asian Fairy-bluebird,Irena puella,1,NA,NA,NA,NA,NA,NA
Asian Glossy Starling,Aplonis panayensis,NA,NA,NA,1,NA,NA,NA
Asian House-Martin,Delichon dasypus,1,NA,1,NA,NA,NA,NA
Asian Koel,Eudynamys scolopaceus,1,NA,NA,NA,NA,NA,NA
Asian Openbill,Anastomus oscitans,1,NA,NA,NA,NA,NA,NA
Asian Palm-Swift,Cypsiurus balasiensis,1,NA,NA,NA,NA,NA,NA
Asian Pied Starling,Gracupica contra,1,NA,NA,NA,NA,NA,NA
Asian Stubtail,Urosphena squameiceps,NA,NA,NA,NA,NA,1,NA
Assam Laughingthrush,Trochalopteron chrysopterum,1,NA,NA,NA,NA,NA,NA
Australasian Grass-Owl,Tyto longimembris,1,NA,NA,NA,NA,NA,NA
Azure Tit,Cyanistes cyanus,NA,NA,NA,NA,NA,1,NA
Baer's Pochard,Aythya baeri,NA,NA,NA,1,NA,NA,NA
Baikal Bush Warbler,Locustella davidi,NA,NA,NA,1,NA,NA,NA
Baikal Teal,Sibirionetta formosa,NA,NA,NA,1,NA,NA,NA
Baillon's Crake,Zapornia pusilla,NA,NA,NA,1,NA,NA,NA
Banasura Laughingthrush,Montecincla jerdoni,1,NA,NA,NA,NA,NA,NA
Banded Bay Cuckoo,Cacomantis sonneratii,1,NA,NA,NA,NA,NA,NA
Bank Myna,Acridotheres ginginianus,1,NA,NA,NA,NA,NA,NA
Bank Swallow,Riparia riparia,NA,NA,NA,1,NA,NA,NA
Bar-headed Goose,Anser indicus,NA,NA,1,1,NA,NA,1
Bar-tailed Godwit,Limosa lapponica,NA,NA,NA,1,NA,NA,NA
Bar-tailed Treecreeper,Certhia himalayana,1,1,NA,NA,NA,NA,NA
Bar-winged Flycatcher-shrike,Hemipus picatus,1,NA,NA,NA,NA,NA,NA
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,1,NA,NA,NA,NA,NA,NA
Barau's Petrel,Pterodroma baraui,NA,NA,NA,NA,NA,1,NA
Barn Owl,Tyto alba,1,NA,NA,NA,NA,NA,NA
