Species,Time Bands,Frequency,SE
Ashy-crowned Sparrow-Lark,before 2000,0.231180473,0.017911568
Ashy-crowned Sparrow-Lark,2000-2006,0.15352664,0.013094951
Ashy-crowned Sparrow-Lark,2007-2010,0.140822694,0.011907812
Ashy-crowned Sparrow-Lark,2011-2012,0.126857988,0.010571643
Ashy-crowned Sparrow-Lark,2013,0.12261577,0.009889451
Ashy-crowned Sparrow-Lark,2014,0.128936694,0.010044511
Ashy-crowned Sparrow-Lark,2015,0.118878766,0.009020506
Ashy-crowned Sparrow-Lark,2016,0.110758055,0.008529189
Ashy-crowned Sparrow-Lark,2017,0.120462206,0.00922747
Ashy-crowned Sparrow-Lark,2018,0.112842279,0.008538537
Bar-tailed Godwit,before 2000,NA,NA
Bar-tailed Godwit,2000-2006,NA,NA
Bar-tailed Godwit,2007-2010,NA,NA
Bar-tailed Godwit,2011-2012,NA,NA
Bar-tailed Godwit,2013,NA,NA
Bar-tailed Godwit,2014,0.015809137,0.013557299
Bar-tailed Godwit,2015,0.01790578,0.015136186
Bar-tailed Godwit,2016,0.01548602,0.013159014
Bar-tailed Godwit,2017,0.017929658,0.015347942
Bar-tailed Godwit,2018,0.012355252,0.010534994
Baya Weaver,before 2000,0.119623269,0.009111452
Baya Weaver,2000-2006,0.106415227,0.008503874
Baya Weaver,2007-2010,0.137478541,0.010011798
Baya Weaver,2011-2012,0.110312688,0.008257362
Baya Weaver,2013,0.139088313,0.009561745
Baya Weaver,2014,0.134334398,0.008508927
Baya Weaver,2015,0.110385063,0.00701436
Baya Weaver,2016,0.116965656,0.007331924
Baya Weaver,2017,0.11256932,0.007155545
Baya Weaver,2018,0.117118294,0.007377221
Black Bittern,before 2000,0.019183157,0.00328019
Black Bittern,2000-2006,0.033364809,0.005296807
Black Bittern,2007-2010,0.030270954,0.004769849
Black Bittern,2011-2012,0.032621329,0.005108409
Black Bittern,2013,0.040367958,0.005639945
Black Bittern,2014,0.034393572,0.004372479
Black Bittern,2015,0.036294997,0.004410683
Black Bittern,2016,0.029365837,0.003602163
Black Bittern,2017,0.020081043,0.002479382
Black Bittern,2018,0.020357434,0.002503703
Black-crowned Night-Heron,before 2000,0.055126912,0.00477117
Black-crowned Night-Heron,2000-2006,0.063325067,0.005361323
Black-crowned Night-Heron,2007-2010,0.092304906,0.006752128
Black-crowned Night-Heron,2011-2012,0.082753057,0.006449823
Black-crowned Night-Heron,2013,0.073760774,0.005265622
Black-crowned Night-Heron,2014,0.063306724,0.004139774
Black-crowned Night-Heron,2015,0.069770025,0.004396437
Black-crowned Night-Heron,2016,0.059531563,0.003762841
Black-crowned Night-Heron,2017,0.060800278,0.003778867
Black-crowned Night-Heron,2018,0.061898523,0.003851745
Black-tailed Godwit,before 2000,0.058492658,0.007785414
Black-tailed Godwit,2000-2006,0.088635977,0.011759326
Black-tailed Godwit,2007-2010,0.055980033,0.007417118
Black-tailed Godwit,2011-2012,0.064937817,0.008756626
Black-tailed Godwit,2013,0.051868549,0.006731459
Black-tailed Godwit,2014,0.034072199,0.004371079
Black-tailed Godwit,2015,0.031831925,0.004009654
Black-tailed Godwit,2016,0.038341302,0.004806129
Black-tailed Godwit,2017,0.029359919,0.003703575
Black-tailed Godwit,2018,0.032648432,0.004076747
Cinnamon Bittern,before 2000,0.092397715,0.011235985
Cinnamon Bittern,2000-2006,0.083395253,0.010926862
Cinnamon Bittern,2007-2010,0.058670863,0.008283556
Cinnamon Bittern,2011-2012,0.059323484,0.008099767
Cinnamon Bittern,2013,0.063474452,0.008152945
Cinnamon Bittern,2014,0.048513804,0.005720136
Cinnamon Bittern,2015,0.034729608,0.004072426
Cinnamon Bittern,2016,0.040014293,0.004696848
Cinnamon Bittern,2017,0.028442591,0.003371471
Cinnamon Bittern,2018,0.030434037,0.003552044
Cotton Pygmy-Goose,before 2000,0.10982828,0.00956824
Cotton Pygmy-Goose,2000-2006,0.069099153,0.006576586
Cotton Pygmy-Goose,2007-2010,0.073599825,0.006584793
Cotton Pygmy-Goose,2011-2012,0.073295444,0.006695918
Cotton Pygmy-Goose,2013,0.067515516,0.005884154
Cotton Pygmy-Goose,2014,0.058600109,0.004894129
Cotton Pygmy-Goose,2015,0.045010449,0.003756355
Cotton Pygmy-Goose,2016,0.048310021,0.003950975
Cotton Pygmy-Goose,2017,0.041744222,0.003438929
Cotton Pygmy-Goose,2018,0.044421196,0.003615503
Curlew Sandpiper,before 2000,0.073483732,0.018582972
Curlew Sandpiper,2000-2006,0.042831113,0.011298945
Curlew Sandpiper,2007-2010,0.020791917,0.005587297
Curlew Sandpiper,2011-2012,0.02793504,0.007437987
Curlew Sandpiper,2013,0.017144332,0.004505365
Curlew Sandpiper,2014,0.012395897,0.003194721
Curlew Sandpiper,2015,0.008221691,0.002099375
Curlew Sandpiper,2016,0.010070299,0.002555773
Curlew Sandpiper,2017,0.009426519,0.002398991
Curlew Sandpiper,2018,0.009097316,0.002290326
Eurasian Curlew,before 2000,0.086660196,0.016982536
Eurasian Curlew,2000-2006,0.056555324,0.011613442
Eurasian Curlew,2007-2010,0.035151579,0.007127259
Eurasian Curlew,2011-2012,0.032675886,0.006630835
Eurasian Curlew,2013,0.043850868,0.008683406
Eurasian Curlew,2014,0.022144727,0.004334599
Eurasian Curlew,2015,0.021662378,0.004183169
Eurasian Curlew,2016,0.026353515,0.005076804
Eurasian Curlew,2017,0.023707086,0.004573591
Eurasian Curlew,2018,0.019937535,0.003864739
Forest Wagtail,before 2000,0.032181681,0.005685437
Forest Wagtail,2000-2006,0.0300387,0.005398036
Forest Wagtail,2007-2010,0.02349867,0.004179744
Forest Wagtail,2011-2012,0.020177479,0.003624448
Forest Wagtail,2013,0.015871499,0.002746287
Forest Wagtail,2014,0.014041029,0.002272929
Forest Wagtail,2015,0.012107011,0.001927775
Forest Wagtail,2016,0.011875404,0.001880159
Forest Wagtail,2017,0.009423244,0.001515187
Forest Wagtail,2018,0.008830234,0.001381378
Gray-headed Bulbul,before 2000,NA,NA
Gray-headed Bulbul,2000-2006,NA,NA
Gray-headed Bulbul,2007-2010,NA,NA
Gray-headed Bulbul,2011-2012,NA,NA
Gray-headed Bulbul,2013,NA,NA
Gray-headed Bulbul,2014,0.009805584,0.002250744
Gray-headed Bulbul,2015,0.009908445,0.00227218
Gray-headed Bulbul,2016,0.009268334,0.002113307
Gray-headed Bulbul,2017,0.009570977,0.002171496
Gray-headed Bulbul,2018,0.007589809,0.001729293
Great Knot,before 2000,NA,NA
Great Knot,2000-2006,NA,NA
Great Knot,2007-2010,NA,NA
Great Knot,2011-2012,NA,NA
Great Knot,2013,NA,NA
Great Knot,2014,NA,NA
Great Knot,2015,NA,NA
Great Knot,2016,NA,NA
Great Knot,2017,NA,NA
Great Knot,2018,NA,NA
Greater Spotted Eagle,before 2000,0.008933708,0.001912485
Greater Spotted Eagle,2000-2006,0.015572887,0.003181757
Greater Spotted Eagle,2007-2010,0.014510744,0.002836689
Greater Spotted Eagle,2011-2012,0.015961979,0.003135959
Greater Spotted Eagle,2013,0.013710344,0.002591856
Greater Spotted Eagle,2014,0.013328516,0.002420412
Greater Spotted Eagle,2015,0.010865616,0.001942849
Greater Spotted Eagle,2016,0.011830745,0.002089067
Greater Spotted Eagle,2017,0.011308397,0.002003082
Greater Spotted Eagle,2018,0.01191001,0.00210469
Heart-spotted Woodpecker,before 2000,0.03890552,0.006802964
Heart-spotted Woodpecker,2000-2006,0.029037414,0.005206414
Heart-spotted Woodpecker,2007-2010,0.035746906,0.00616452
Heart-spotted Woodpecker,2011-2012,0.025579492,0.004555936
Heart-spotted Woodpecker,2013,0.020227255,0.003479293
Heart-spotted Woodpecker,2014,0.020109774,0.003240567
Heart-spotted Woodpecker,2015,0.01385273,0.002234855
Heart-spotted Woodpecker,2016,0.013250415,0.002106012
Heart-spotted Woodpecker,2017,0.014562719,0.002307496
Heart-spotted Woodpecker,2018,0.013025746,0.00207013
House Sparrow,before 2000,0.266390764,0.012150887
House Sparrow,2000-2006,0.216073843,0.010204358
House Sparrow,2007-2010,0.244958028,0.011172223
House Sparrow,2011-2012,0.272412983,0.012107017
House Sparrow,2013,0.306918228,0.012120956
House Sparrow,2014,0.293016375,0.011142268
House Sparrow,2015,0.281809861,0.010608076
House Sparrow,2016,0.273441215,0.010411556
House Sparrow,2017,0.274352845,0.01037627
House Sparrow,2018,0.273885129,0.010347573
Indian Cuckoo,before 2000,0.075796318,0.014138071
Indian Cuckoo,2000-2006,0.059848762,0.012138734
Indian Cuckoo,2007-2010,0.049779804,0.010382002
Indian Cuckoo,2011-2012,0.060405787,0.012412225
Indian Cuckoo,2013,0.061917302,0.011376676
Indian Cuckoo,2014,0.046800837,0.008369476
Indian Cuckoo,2015,0.044131606,0.007757055
Indian Cuckoo,2016,0.031707799,0.005652831
Indian Cuckoo,2017,0.029073997,0.005187585
Indian Cuckoo,2018,0.032759898,0.005817873
Indian Spotted Eagle,before 2000,0.010747442,0.001620051
Indian Spotted Eagle,2000-2006,0.009356622,0.001469361
Indian Spotted Eagle,2007-2010,0.015486891,0.002141393
Indian Spotted Eagle,2011-2012,0.020023117,0.00266298
Indian Spotted Eagle,2013,0.015940682,0.002040868
Indian Spotted Eagle,2014,0.014823508,0.001750967
Indian Spotted Eagle,2015,0.014891087,0.001699131
Indian Spotted Eagle,2016,0.012284525,0.001389395
Indian Spotted Eagle,2017,0.012239026,0.001379728
Indian Spotted Eagle,2018,0.012133393,0.001346943
Indian Thick-knee,before 2000,0.107852603,0.011437357
Indian Thick-knee,2000-2006,0.045072825,0.005576034
Indian Thick-knee,2007-2010,0.054465142,0.006215942
Indian Thick-knee,2011-2012,0.058021935,0.006662758
Indian Thick-knee,2013,0.046974024,0.005129053
Indian Thick-knee,2014,0.048277252,0.004943744
Indian Thick-knee,2015,0.038660502,0.003911315
Indian Thick-knee,2016,0.03991785,0.003961608
Indian Thick-knee,2017,0.045510695,0.004500207
Indian Thick-knee,2018,0.040845816,0.004040542
Jerdon's Baza,before 2000,NA,NA
Jerdon's Baza,2000-2006,NA,NA
Jerdon's Baza,2007-2010,NA,NA
Jerdon's Baza,2011-2012,NA,NA
Jerdon's Baza,2013,NA,NA
Jerdon's Baza,2014,NA,NA
Jerdon's Baza,2015,NA,NA
Jerdon's Baza,2016,NA,NA
Jerdon's Baza,2017,NA,NA
Jerdon's Baza,2018,NA,NA
Lesser Coucal,before 2000,NA,NA
Lesser Coucal,2000-2006,NA,NA
Lesser Coucal,2007-2010,NA,NA
Lesser Coucal,2011-2012,NA,NA
Lesser Coucal,2013,NA,NA
Lesser Coucal,2014,0.030719916,0.007768628
Lesser Coucal,2015,0.038499208,0.009656941
Lesser Coucal,2016,0.049306066,0.012120734
Lesser Coucal,2017,0.04508476,0.01118007
Lesser Coucal,2018,0.04758088,0.011743963
Malabar Lark,before 2000,0.027902674,0.006719289
Malabar Lark,2000-2006,0.023268305,0.005623023
Malabar Lark,2007-2010,0.015852636,0.003975188
Malabar Lark,2011-2012,0.018782081,0.004628002
Malabar Lark,2013,0.011166761,0.002747579
Malabar Lark,2014,0.017395473,0.003983953
Malabar Lark,2015,0.010918022,0.002504768
Malabar Lark,2016,0.013624182,0.00308397
Malabar Lark,2017,0.012972461,0.002976116
Malabar Lark,2018,0.011217139,0.00256074
Malabar Pied-Hornbill,before 2000,0.033131266,0.007982742
Malabar Pied-Hornbill,2000-2006,0.036093779,0.008378856
Malabar Pied-Hornbill,2007-2010,0.056231086,0.012978487
Malabar Pied-Hornbill,2011-2012,0.050475689,0.011627997
Malabar Pied-Hornbill,2013,0.040150339,0.009105303
Malabar Pied-Hornbill,2014,0.051028984,0.011240601
Malabar Pied-Hornbill,2015,0.033960738,0.007518313
Malabar Pied-Hornbill,2016,0.037099307,0.008152804
Malabar Pied-Hornbill,2017,0.036109011,0.007924787
Malabar Pied-Hornbill,2018,0.034386854,0.00754089
Orange-breasted Green-Pigeon,before 2000,0.022666802,0.00306529
Orange-breasted Green-Pigeon,2000-2006,0.031553224,0.004246478
Orange-breasted Green-Pigeon,2007-2010,0.027501827,0.003668245
Orange-breasted Green-Pigeon,2011-2012,0.033194446,0.00435048
Orange-breasted Green-Pigeon,2013,0.027347,0.003386831
Orange-breasted Green-Pigeon,2014,0.025094238,0.002871054
Orange-breasted Green-Pigeon,2015,0.023373941,0.002607013
Orange-breasted Green-Pigeon,2016,0.026229419,0.0028984
Orange-breasted Green-Pigeon,2017,0.023309705,0.002557876
Orange-breasted Green-Pigeon,2018,0.021941512,0.002423908
Pacific Golden-Plover,before 2000,0.070979958,0.012966295
Pacific Golden-Plover,2000-2006,0.048976734,0.009507286
Pacific Golden-Plover,2007-2010,0.024735816,0.004728365
Pacific Golden-Plover,2011-2012,0.020526531,0.004045175
Pacific Golden-Plover,2013,0.018422524,0.003546485
Pacific Golden-Plover,2014,0.013920214,0.002572249
Pacific Golden-Plover,2015,0.009765172,0.001797541
Pacific Golden-Plover,2016,0.011843851,0.002174672
Pacific Golden-Plover,2017,0.008761761,0.001602461
Pacific Golden-Plover,2018,0.008190166,0.001496923
Pallid Harrier,before 2000,0.063961386,0.027854792
Pallid Harrier,2000-2006,0.058459301,0.025415493
Pallid Harrier,2007-2010,0.026985133,0.012129587
Pallid Harrier,2011-2012,0.030515077,0.013499322
Pallid Harrier,2013,0.028772597,0.012776546
Pallid Harrier,2014,0.021045827,0.009266539
Pallid Harrier,2015,0.015547307,0.006740682
Pallid Harrier,2016,0.017450289,0.007670885
Pallid Harrier,2017,0.01603024,0.007034934
Pallid Harrier,2018,0.014507794,0.006391575
Streaked Weaver,before 2000,0.027755971,0.004994536
