"COMMON.NAME","SCIENTIFIC.NAME"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Northern Lapwing","Vanellus vanellus"
"Indian Roller","Coracias benghalensis"
"Eurasian Wigeon","Mareca penelope"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Mallard","Anas platyrhynchos"
"Black-rumped Flameback","Dinopium benghalense"
"Bluethroat","Luscinia svecica"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Large-billed Crow","Corvus macrorhynchos"
"Sykes's Short-toed Lark","Calandrella dukhunensis"
"Demoiselle Crane","Anthropoides virgo"
"Common Sandpiper","Actitis hypoleucos"
"Slender-billed Gull","Chroicocephalus genei"
"Eurasian Hoopoe","Upupa epops"
"Common Pochard","Aythya ferina"
"Green-winged Teal","Anas crecca"
"Sarus Crane","Antigone antigone"
"Nilgiri Flycatcher","Eumyias albicaudatus"
"Indian Vulture","Gyps indicus"
"Indian Silverbill","Euodice malabarica"
"Spot-winged Starling","Saroglossa spilopterus"
"Kalij Pheasant","Lophura leucomelanos"
"Indian Yellow Tit","Machlolophus aplonotus"
"Long-tailed Duck","Clangula hyemalis"
"Little Stint","Calidris minuta"
"Siberian Crane","Leucogeranus leucogeranus"
"Common Iora","Aegithina tiphia"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Desert Wheatear","Oenanthe deserti"
"White-bellied Heron","Ardea insignis"
"Indian White-eye","Zosterops palpebrosus"
"Gray-throated Martin","Riparia chinensis"
"Barn Swallow","Hirundo rustica"
"Red-headed Vulture","Sarcogyps calvus"
"Black Bittern","Ixobrychus flavicollis"
"Tickell's Thrush","Turdus unicolor"
"Intermediate Egret","Ardea intermedia"
"Pied Harrier","Circus melanoleucos"
"Pied Bushchat","Saxicola caprata"
"Brahminy Starling","Sturnia pagodarum"
"White-rumped Vulture","Gyps bengalensis"
"Red-breasted Flycatcher","Ficedula parva"
"White-browed Wagtail","Motacilla maderaspatensis"
"Oriental Magpie-Robin","Copsychus saularis"
"Western Yellow Wagtail","Motacilla flava"
"Common Woodshrike","Tephrodornis pondicerianus"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
